alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
kindred-movement-richmond,Yoga,"Address(address_line0=, address_line1=232 Bridge Rd, address_line2=Level 1, city=Richmond, state=, zip_code=3121)",34576,Kindred Movement - Richmond,Richmond,5000+,4.7971125
elite-aerial-arts-quezon-city,"Dance,Yoga","Address(address_line0=, address_line1=143 Maginhawa Street Sikatuna Village, address_line2=, city=Quezon City, state=, zip_code=1100)",50868,Elite Aerial Arts,,1000+,4.893421
bbarre-jakarta,Barre,"Address(address_line0=, address_line1=RT.4/RW.12, North Grogol, Kebayoran Lama, South Jakarta City, address_line2=, city=Jakarta, state=, zip_code=12210)",50441,bBarre Jakarta,,1000+,4.874787
tangs-massage-and-spa-melbourne-docklands,"Spa,Massage","Address(address_line0=, address_line1=Australian Wharf, Docklands, address_line2=, city=Melbourne, state=, zip_code=3008)",81934,Tang's Massage & Spa ,Docklands,0,0.0
jung-shim-melbourne-wellness-victoria,"Massage,Meditation","Address(address_line0=, address_line1=4 Biarritz Ave. Beaumaris, address_line2=, city=Victoria , state=, zip_code=3193)",63929,Jung Shim Melbourne,Cheltenham,1,5.0
evolve-yoga-bgc-taguig,"Yoga,Livestream yoga","Address(address_line0=One Parkade, address_line1=7th Ave. cor. 28th St. Lane O, address_line2=Unit 13-15 G/F, city=Taguig, state=, zip_code=1634)",51153,Evolve Yoga ,,1000+,4.733661
skillfulmind-blind-bight-blind-bight,Yoga,"Address(address_line0=Blind Bight Community Centre , address_line1=Anchorage Drive , address_line2=, city=Blind Bight , state=, zip_code=3980)",57001,Skillfulmind ,,0,0.0
ubud-yoga-centre-kecamatan-ubud,"Dance,Barre,Pilates,Yoga,Strength Training","Address(address_line0=, address_line1=No.108 Jalan Raya Singakerta, address_line2=, city=Kecamatan Ubud, state=, zip_code=80571)",65043,Ubud Yoga Centre,,100+,4.8317757
rev-wellness-kuala-lumpur,Cryotherapy,"Address(address_line0=, address_line1=Lot 6 & 7, Block C3, Solaris Dutamas, Wilayah Persekutuan , address_line2=Level G4, city=Kuala Lumpur, state=, zip_code=50480)",59947,REV,,81,4.740741
one-hot-yoga-and-pilates-livestream-south-yarra,"Pilates,Yoga,Livestream yoga","Address(address_line0=, address_line1=36/48 River St, address_line2=, city=South Yarra, state=, zip_code=3141)",40948,One Hot Yoga & Pilates,South Yarra,1000+,4.699273
