box-clever-sports-london,"Boxing,Livestream boxing","Address(address_line0=, address_line1=351 Westbourne Park Rd, address_line2=Lowerwood Court Car Park, city=London, state=, zip_code=W11 1EU)",26775,Box Clever Sports,Ladbroke Grove,5000+,4.892252
define-london-zubj,"Dance,Stretching,Barre,Strength Training,Yoga","Address(address_line0=, address_line1=82 Great Portland Street, address_line2=, city=London, state=, zip_code=W1W 7NW)",60479,Define London,,1000+,4.789304
rox-life-hove,"Boxing,Strength Training,Cycling","Address(address_line0=Rox Life, address_line1=115 Western Rd, address_line2=, city=Hove, state=, zip_code=BN3 1DD)",43794,Rox Life,,5000+,4.8221917
sweat-by-bxr-canary-wharf,"Boxing,Strength Training","Address(address_line0=, address_line1=Unit 46, Cross rail Place, address_line2=, city=Canary Wharf, state=, zip_code=E14 5AR)",60297,Sweat by BXR ,Canary Wharf,1000+,4.697749
levitate-camberwell-london,Meditation,"Address(address_line0=, address_line1=36 Coleman Road, address_line2=Levitate Meditation & Wellbeing Studio, Flat A, city=london, state=, zip_code=SE5 7TG)",42128,Levitate,Camberwell,100+,4.913934
the-quiet-space-london,"Massage,Meditation","Address(address_line0=, address_line1=3 Cannon Drive, address_line2=, city=London, state=, zip_code=E14 4AS)",59948,The Quiet Space,Canary Wharf,100+,4.797753
cryosauna-oslo,Cryotherapy,"Address(address_line0=, address_line1=13 Frognerveien, address_line2=, city=Oslo, state=, zip_code=0263)",58566,Cryosauna,,100+,4.881757
the-foundry-vauxhall-london,"Rowing,Boxing,Livestream HIIT,Strength Training,Livestream strength training,Cycling,Livestream boxing","Address(address_line0=At The Black Prince Community Hub 5, address_line1=Beaufoy walk, address_line2=Beaufoy Walk, city=London, state=, zip_code=SE11 6HU)",33730,The Foundry,Vauxhall,5000+,4.832984
absolute-studios-london,"Pilates,Livestream pilates","Address(address_line0=, address_line1=19 Heathman's Rd, address_line2=Unit G, city=London, state=, zip_code=SW6 4TJ)",27184,Absolute Studios,Parson’s Green,5000+,4.692283
disco-barre-studio-london,"Dance,Barre","Address(address_line0=Unit 5, address_line1=The Factory Dalston, address_line2=, city=London, state=, zip_code=E8 2DA)",27582,Disco Barre Studio,Dalston,1000+,4.832904
northern-light-yoga-oslo,"Pilates,Yoga","Address(address_line0=, address_line1=30 Professor Dahls gate, address_line2=, city=Oslo, state=, zip_code=0260)",58592,Northern Light Yoga,,500+,4.7706423
healthy-warriors-boulogne-billancourt,Yoga,"Address(address_line0=, address_line1=30 Rue Carnot, address_line2=, city=Boulogne-Billancourt, state=, zip_code=92100)",53185,Healthy Warriors,,1000+,4.800063
saints-and-stars-oud-zuid-classes-amsterdam,"Gym Time,Strength Training","Address(address_line0=, address_line1=Gerrit van der Veenstraat 38, address_line2=, city= Amsterdam, state=, zip_code=1077 EE)",78972,Saints & Stars Oud-Zuid,,5000+,4.770175
tempo-pilates-e8-london,Pilates,"Address(address_line0=Unit 1, address_line1=Great Eastern Buildings, address_line2=Reading Lane, city=London, state=, zip_code=E8 1FR)",26779,Tempo Pilates | E8,London Fields,5000+,4.788521
bikram-yoga-sarri-sarri-barcelona,"Free livestreams,Low-credit livestreams,Yoga,Livestream yoga","Address(address_line0=, address_line1=Carrer de la Caravel·la la Niña, 18, address_line2=, city=Barcelona, state=, zip_code=08017)",62989,Bikram Yoga Sarrià,,500+,4.8645487
exactfitness-madrid,"Pilates,Strength Training,Sports recovery","Address(address_line0=null, address_line1=27 Calle de Joaquín María López, address_line2=null, city=Madrid, state=null, zip_code=28015)",61780,Exactfitness,,500+,4.9541864
plts-oost-amsterdam,Pilates,"Address(address_line0=, address_line1=Eerste Oosterparkstraat 68, address_line2=, city=Amsterdam, state=, zip_code=1091 HA)",63543,PLTS,,5000+,4.6815696
tripyoga-tripspace-projects-london,Yoga,"Address(address_line0=null, address_line1=340 Acton Mews, address_line2=null, city=London, state=LND, zip_code=E8 4EF)",34761,TripYoga | TripSpace Projects,Haggerston,5000+,4.7468143
paolas-bodybarre-london,"Livestream barre,Barre,Strength Training,Outdoors","Address(address_line0=, address_line1=2 Fulham High Street, address_line2=Fulham, city=London, state=, zip_code=SW6 3LQ)",26872,Paola's BodyBarre,Fulham,5000+,4.6786366
element-fitness-london,Strength Training,"Address(address_line0=, address_line1=24-26 Streatham High Road, address_line2=, city=London, state=, zip_code=SW16 1EX)",48377,Element Fitness,,1000+,4.8658314
body-society-london,"Free livestreams,Low-credit livestreams,Livestream barre,Livestream HIIT,Livestream pilates,Strength Training,Yoga,Rowing,Boxing,Livestream strength training,Livestream cycling,Livestream boxing,Livestream yoga,Livestream dance","Address(address_line0=, address_line1=132 Wandsworth Bridge Road  , address_line2=, city=London, state=, zip_code=SW6 2UL)",50366,Body Society,Fulham,1000+,4.8220286
kore-gallery-london,"Pilates,Livestream pilates,Livestream strength training","Address(address_line0=, address_line1=32 Commercial road, address_line2=, city=London, state=, zip_code=E1 7PF)",45412,Kore Gallery,,5000+,4.840443
lavish-nails-and-beauty-salon-london,,"Address(address_line0=, address_line1=22 D'Arblay St., address_line2=, city=London, state=, zip_code=W1F 8EQ)",70426,Lavish Nails and Beauty Salon,,100+,4.705263
bootcamp-pilates-richmond,"Low-credit livestreams,Barre,Pilates,Livestream pilates,Strength Training","Address(address_line0=, address_line1=4 Red Lion St, address_line2=, city=Richmond, state=, zip_code=TW9 1RW)",27035,Bootcamp Pilates,Richmond,5000+,4.6923246
manchester-massage-man,Massage,"Address(address_line0=, address_line1=43 George St, address_line2=, city=Manchester, state=, zip_code=M1 4AB)",43439,Manchester Massage Man,,100+,4.8325124
rrt-copenhagen,"Livestream meditation,Dance,Meditation,Strength Training,Yoga,Livestream yoga","Address(address_line0=, address_line1=13 Vermundsgade, address_line2=, city=Copenhagen, state=, zip_code=2100)",57116,Rört,,100+,4.714286
bootcamp-pilates-notting-hill-london,"Low-credit livestreams,Pilates,Livestream pilates","Address(address_line0=null, address_line1=64 Porchester Rd, address_line2=null, city=London, state=null, zip_code=W2 6ET)",26665,Bootcamp Pilates,Notting Hill,5000+,4.633771
milo-and-the-bull-london,"Gym Time,Rowing,Livestream HIIT,Pilates,Strength Training,Yoga","Address(address_line0=null, address_line1=62-64 St John's Hill, address_line2=Battersea, city=London, state=null, zip_code=SW11 1AD)",49251,Milo and the Bull,Battersea,5000+,4.826908
lim-studio-london,"Low-credit livestreams,Barre,Pilates,Yoga,Livestream yoga","Address(address_line0=, address_line1=114 Highbury Park, address_line2=, city=London, state=, zip_code=N5 2XE)",61463,LIM Studio,Highbury / Islington,1000+,4.7839875
